,latitude,longitude,canonical_name,cluster_label
135,51.5416,-0.1389,"Bonny Street, Camden Town",25
325,51.51,-0.1388,"Sackville Street, Mayfair",28
625,51.5301,-0.1388,"Hampstead Road (Cartmel), Euston",25
597,51.4773,-0.1387,"Thessaly Road North, Wandsworth Road",6
252,51.4968,-0.1387,"Howick Place, Westminster",6
57,51.5388,-0.1385,"St Martin's Close, Camden Town",25
257,51.4921,-0.1384,"Tachbrook Street, Victoria",6
393,51.5255,-0.1382,"Hampstead Road, Euston",25
309,51.4813,-0.1382,"Riverlight South, Nine Elms",6
516,51.5173,-0.1381,"Wells Street, Fitzrovia",24
443,51.4848,-0.1381,"Claverton Street, Pimlico",6
52,51.5244,-0.138,"Warren Street Station, Euston",24
271,51.4766,-0.1379,"Thessaly Road North, Nine Elms",6
253,51.5146,-0.1378,"Great Marlborough Street, Soho",24
148,51.4977,-0.1376,"Kings Gate House, Westminster",6
721,51.4989,-0.1374,"Buckingham Gate, Westminster",6
522,51.4731,-0.1372,"Stewart's Road, Nine Elms",22
469,51.5119,-0.137,"Golden Square, Soho",24
633,51.494,-0.1369,"Vincent Square, Westminster",6
760,51.533,-0.1368,"Eversholt Street , Camden Town",25
153,51.5273,-0.1361,"Drummond Street , Euston",25
75,51.4824,-0.1361,"Riverlight North, Nine Elms",6
577,51.5199,-0.136,"Scala Street, Fitzrovia",24
652,51.5195,-0.1358,"Charlotte Street, Fitzrovia",24
765,51.5137,-0.1356,"Broadwick Street, Soho",24
525,51.4882,-0.1356,"St. George's Square, Pimlico",6
74,51.4958,-0.1355,"Rochester Row, Westminster",6
305,51.4978,-0.1354,"Butler Place, Westminster",6
757,51.5277,-0.1353,"Drummond Street , Euston",25
852,51.5252,-0.1352,"Gower Place , Euston",24
151,51.5182,-0.135,"Rathbone Street, Fitzrovia",24
150,51.5276,-0.1348,"Melton Street, Euston",25
193,51.5074,-0.1346,"St. James's Square, St. James's",24
67,51.5262,-0.1344,"Euston Road, Euston",24
681,51.4946,-0.1342,"Greycoat Street , Westminster",6
89,51.473,-0.134,"Union Grove, Wandsworth Road",22
639,51.5363,-0.134,"Royal College Street, Camden Town",25
690,51.5125,-0.1332,"Wardour Street, Soho",24
604,51.49,-0.1328,"Rampayne Street, Pimlico",6
198,51.5197,-0.1323,"Alfred Place, Bloomsbury",24
53,51.5288,-0.1323,"Doric Way , Somers Town",25
803,51.5156,-0.1323,"Soho Square , Soho",24
800,51.4921,-0.1322,"Regency Street, Westminster",6
808,51.5186,-0.1321,"Bayley Street , Bloomsbury",24
27,51.4981,-0.1321,"Abbey Orchard Street, Westminster",6
164,51.4729,-0.1321,"Courland Grove, Wandsworth Road",22
160,51.5196,-0.1321,"Store Street, Bloomsbury",24
123,51.5084,-0.132,"Charles II Street, West End",24
752,51.5271,-0.1319,"Euston Square Gardens, Euston",24
341,51.5066,-0.1318,"Waterloo Place, St. James's",24
138,51.5096,-0.1315,"Panton Street, West End",24
564,51.5251,-0.1312,"Taviton Street, Bloomsbury",24
729,51.5131,-0.1312,"Frith Street, Soho",24
492,51.465,-0.1309,"Gauden Road, Clapham",22
582,51.5078,-0.1307,"Pall Mall East, West End",24
184,51.5268,-0.1305,"Endsleigh Gardens, Euston",24
600,51.4948,-0.1305,"Horseferry Road, Westminster",6
844,51.5217,-0.1304,"Malet Street, Bloomsbury",24
168,51.5135,-0.1301,"Moor Street, Soho",24
421,51.4931,-0.1299,"Vincent Street, Pimlico",6
206,51.5091,-0.1297,"St. Martin's Street, West End",24
864,51.5007,-0.1297,"Storey's Gate, Westminster",6
806,51.5341,-0.1294,"Pancras Road, King's Cross",25
346,51.4884,-0.1294,"Vauxhall Bridge , Pimlico",6
704,51.5161,-0.1286,"Earnshaw Street , Covent Garden",24
608,51.5237,-0.1284,"Bedford Way, Bloomsbury",24
532,51.5293,-0.1283,"Ossulston Street, Somers Town",15
125,51.5177,-0.1279,"Great Russell Street, Bloomsbury",24
459,51.494,-0.1276,"John Islip Street, Westminster",12
562,51.4958,-0.1276,"Smith Square, Westminster",12
755,51.4707,-0.127,"Clarence Walk, Stockwell",22
51,51.4779,-0.1269,"Hartington Road, Stockwell",22
489,51.524,-0.1264,"Coram Street, Bloomsbury",24
178,51.5264,-0.126,"Cartwright Gardens , Bloomsbury",15
843,51.4976,-0.126,"Abingdon Green, Great College Street",12
556,51.5081,-0.126,"Craven Street, Strand",0
88,51.4919,-0.1257,"Millbank Tower, Pimlico",12
701,51.5416,-0.1254,"York Way, King's Cross",15
508,51.5347,-0.1251,"Good's Way, King's Cross",15
431,51.5372,-0.1248,"Handyside Street, King's Cross",15
161,51.5162,-0.1248,"High Holborn , Covent Garden",24
571,51.5095,-0.1247,"William IV Street, Strand",0
197,51.5191,-0.1247,"British Museum, Bloomsbury",24
626,51.4817,-0.1246,"South Lambeth Road, Vauxhall",12
259,51.4746,-0.1246,"Lansdowne Way Bus Garage, Stockwell",22
702,51.4859,-0.1245,"Vauxhall Cross, Vauxhall",12
398,51.5164,-0.1243,"High Holborn , Covent Garden",24
503,51.5234,-0.1241,"Russell Square Station, Bloomsbury",15
120,51.5015,-0.1238,"Westminster Pier, Westminster",0
415,51.5068,-0.1237,"Northumberland Avenue, Strand",0
14,51.4714,-0.1237,"Clapham Road, Lambeth",22
230,51.5299,-0.1236,"Belgrove Street , King's Cross",15
